"","post_username","post_ID","post_comment","message_ID","sentiment","DatetimeSF","DatetimeSG","DateSG","Hour","Dayofweek","wordcount","mean","vNegTerms","negTerms","posTerms","vPosTerms"
"835","Sheena Teo","1.02e+16","Hey Grab, may I please check if my email feedback dated 26 June 2017 will be attended to? Sent a PM at 8.03pm earlier on but did not receive a reply. Any assistance will be appreciated, thanks!","850696028415716_853830584768927","neutral",2017-07-11 12:32:28,2017-07-12 05:32:28,"2017-7-12",5,3,37,1.66666666666667,0,0,3,0
"836","Tina Tan","1.94e+15","i want to complain about grab customer service hotline, where do i make the complaint.","850696028415716_853776974774288","negative",2017-07-11 10:51:09,2017-07-12 03:51:09,"2017-7-12",3,3,15,-0.5,0,1,1,0
"837","Vinodhini Jayaram","1.02e+16","I left a message for Grab. Can someone get back to me","850696028415716_853633174788668","neutral",2017-07-11 03:29:30,2017-07-11 20:29:30,"2017-7-11",20,2,12,0,0,0,0,0
"838","Taiwan Tan","8.47e+14","But they height must above 1.35 m if not GrabCar cannt take them by law","850696028415716_853129738172345","neutral",2017-07-10 06:54:02,2017-07-10 23:54:02,"2017-7-10",23,1,15,0,0,0,0,0
"839","Sukhvinder Cheema","4.91e+14","So driver picks Kidd below 1.35m and he's branded as 'very responsible?' lol","850696028415716_854252611393391","neutral",2017-07-12 04:53:34,2017-07-12 21:53:34,"2017-7-12",21,3,13,2.5,0,0,2,0
"840","William Heng","1.02e+16","Saadiah Abdul Rahman","850696028415716_853041331514519","neutral",2017-07-10 02:02:19,2017-07-10 19:02:19,"2017-7-10",19,1,3,0,0,0,0,0
"841","Saadiah Abdul Rahman","1.02e+16","Abdul Hadi Asyraf Azman","850696028415716_853061814845804","neutral",2017-07-10 03:06:32,2017-07-10 20:06:32,"2017-7-10",20,1,4,0,0,0,0,0
"842","Lim Hui Ying","1.02e+16","Delon Ng Li Hui Ho fulfil our wishes my dear friend","851367898348529_851696821648970","neutral",2017-07-07 17:49:09,2017-07-08 10:49:09,"2017-7-8",10,6,11,1.5,0,0,2,0
"843","Leslie Poon","1.02e+16","Give ""credits"" voucher but increase base rates. Yeah clever. !! Net net the bill is more expensive.","851367898348529_851513398333979","negative",2017-07-07 11:23:19,2017-07-08 04:23:19,"2017-7-8",4,6,17,1.33333333333333,0,0,3,0
"844","Belle Sky","1.02e+16","Audren Wong have u seen this? this is so funny !!!  :)","851367898348529_852125038272815","positive",2017-07-08 12:45:23,2017-07-09 05:45:23,"2017-7-9",5,0,13,4,0,0,0,1
"845","Alenzo Gill","9.67e+14","0","851367898348529_851641584987827","neutral",2017-07-07 15:53:00,2017-07-08 08:53:00,"2017-7-8",8,6,0,0,0,0,0,0
"846","Aisha Katiran","1.02e+16","Where is the push button","851367898348529_852969971521655","neutral",2017-07-09 22:20:44,2017-07-10 15:20:44,"2017-7-10",15,1,5,0,0,0,0,0
"847","JiaJia Ng","5.11e+14","0","851367898348529_853511838134135","neutral",2017-07-10 22:21:20,2017-07-11 15:21:20,"2017-7-11",15,2,0,0,0,0,0,0
"848","Karm Treore","1.56e+14","Messi","851367898348529_857696174382368","neutral",2017-07-16 15:33:15,2017-07-17 08:33:15,"2017-7-17",8,1,1,0,0,0,0,0
"849","Gary Ho","1.02e+16","Andrew Lee","851367898348529_851391688346150","neutral",2017-07-07 07:23:55,2017-07-08 00:23:55,"2017-7-8",0,6,2,0,0,0,0,0
"850","Grab","2.3e+14","Hey everyone, this contest is now closed! A big shoutout to everyone who participated and shared their awesome recommendations  it was a tough call for us to pick our winners with so many interesting entries. To the lucky winners, well be reaching out to you via PM soon  Stay tuned for more great stuff coming your way! :)","850694235082562_853620894789896","neutral",2017-07-11 02:44:31,2017-07-11 19:44:31,"2017-7-11",19,2,60,2.14285714285714,0,0,6,1
"851","Joseph Lee","1.02e+16","My favorite hidden Kopitiam is in Prime Bizhub woodlands. It's literally hidden because there's no bus that leads to it. Nearest bus stop is 1km away, no MRT, only by car. And it's along Woodlands Ave 12 (Expressway Exit). Even people who live in Woodlands for years rarely knows about this place. Ironically they serves the best 24Hr DimSum at only $1.20 and one of the most authentic Bak Kut Teh in town. Visit them after 10pm you can enjoy the whole kopitiam to yourself enjoying the Dim Sum and drinks.","850694235082562_851307701687882","positive",2017-07-07 03:09:05,2017-07-07 20:09:05,"2017-7-7",20,5,91,1.6,0,3,4,0
"852","Trekker Jac","1.4e+15","Chin Mee Chin  hainanese coffee shop along East coast road. A morning slurp of its aromatic kopi coupled with kaya toast nicely charred with thick slurp of butter and heavenly kaya. Top that of with soft boiled eggs, kickstart a wonderful weekend! shop has custard puffs etc too. Grab me there!!!","850694235082562_851299888355330","positive",2017-07-07 02:46:07,2017-07-07 19:46:07,"2017-7-7",19,5,52,3.33333333333333,0,0,1,2
"853","Regina Wong","1.02e+16","Heap Seng Leong the warm mouldy coffeeshop with no ventilation. You need willpower to sit indoors watching the uncle in old pyjama pants making your kopi through the traditional sock. The butter kopi is best in Singapore and I have it only once a year for the sake of my cholesterol. Not a hangout for the fainthearted or heatsensitive.","850694235082562_851606228324696","positive",2017-07-07 14:41:14,2017-07-08 07:41:14,"2017-7-8",7,6,59,0.666666666666667,0,2,2,0
"854","Sheena Lum","1.93e+15","Fair View Food Court  371A Woodlands Avenue 1.. this kopitiam is goodie good.. best among the woodlands area.. serve the best claypot gong bao diced chicken with rice, good savouring Hokkien mee, the traditional western food, and the mouth watering zichar!!! I alway cannot make my choice whenever i m there!!","850694235082562_851304705021515","positive",2017-07-07 03:00:07,2017-07-07 20:00:07,"2017-7-7",20,5,52,2.8,0,0,5,0
"855","Serene Foo","1.89e+15","My favourite hidden Kopitiam is really a hidden kopitiam in the Tan Tock Seng hospital.  This is quite a specious kopitiam not only there is a huge section reserved area for the hospital workers also the foods stores  options selling a healthier alternatives foods but still taste deliciously.  I personally like the Chicken rice , Japanese & the very nice cold and hot desserts stores.","850694235082562_851433998341919","positive",2017-07-07 09:15:15,2017-07-08 02:15:15,"2017-7-8",2,6,65,1.33333333333333,0,0,2,0
"856","Lim Xiu Hui","1.46e+15","My favorite hidden Kopitiam is Da Zhong Cafe () in Hainanese Village Food Centre (Lorong Ah Soo/ Hougang). It serves authentic, traditional coffee and tea. The boss makes an effort to ensure that every cup of coffee and tea is freshly brewed. Their coffee is rich and heavy, and has a nutty taste.","850694235082562_851589704993015","positive",2017-07-07 14:03:00,2017-07-08 07:03:00,"2017-7-8",7,6,53,1.66666666666667,0,0,3,0
"857","Eileen Eileen","3.41e+14","My favourite Kopi Tiam is a old  old shop near Potong Pasir b cos their full of loving ppl n young time memories with my parents ,n when he is around he used to order a Kopi wif butter on TOP of it to make coffee more fragile to wake mi up b for I go to work , I love my parents","850694235082562_851289221689730","positive",2017-07-07 02:18:30,2017-07-07 19:18:30,"2017-7-7",19,5,63,2.33333333333333,0,0,3,0
"858","Gil Karen","1.79e+15","Have to be at Blk 37 Japan Rumah Tinggi!!! The neighborhood gives you all the nostalgia feel you love . Old school bus interchange that you cannot find anywhere else. Most importantly, awesome Kopi and Teh Tarik and kaya toast plus all local food that we all like. Also ample parking lots for those who drive.","850694235082562_851305571688095","positive",2017-07-07 03:02:56,2017-07-07 20:02:56,"2017-7-7",20,5,56,2.33333333333333,0,0,1,1
"859","Caroline Tan","1.02e+16","Chin Mee Chin. My Mother used to bring me there for their kaya bread and coffee after visiting my grandmother at the nearby nursing home years ago. After my grandma passed on I had not visited it since.","850694235082562_851383451680307","positive",2017-07-07 07:01:32,2017-07-08 00:01:32,"2017-7-8",0,6,38,0,0,0,0,0
"860","Ethel Chua","2.05e+15","My Hidden Kopitiam is Killiney Kopitiam at Changi Airport terminal 1.Why I choose that kopitiam is I feel the size of the kopitiam is quite big and with many ppl going there for coffee there is a good reason to believe that they have nice tasting toast and good and reasonable priced coffee and tea.I also think for a modern coffee shop to be set up at the airport it allows both passengers who are boarding the planes or those who just arrive in singapore to enjoy a cup of coffee and toast to curb their hunger for those who does not drink starbuck too and anyone who goes to the airport can chill at the place.Although it is a modern coffee shop whenever I drink the coffee it makes me feel a sense of going back to when life was simple and it make me feel like having a sense of familyfeeling and warmth feeling!!In addition, after drinking coffee we can spend time walking ard the airport just relaxing and enjoying the changi airport environment!!#grabsg#passengerpick","850694235082562_851636051655047","positive",2017-07-07 15:44:28,2017-07-08 08:44:28,"2017-7-8",8,6,176,1.5,0,1,7,0
"861","Penny Tok","1.02e+16","Best hidden kopitiam is the one near my house at block 787 cck north 5 because it has the best yong tau fu!!!!! The guys make their own ingredients and they also have tofu lor mee! Prata is awesome. Wanton mee is awesome. Idk how to convince you guys more","850694235082562_853421338143185","positive",2017-07-10 18:07:44,2017-07-11 11:07:44,"2017-7-11",11,2,50,2.33333333333333,0,1,3,2
"862","Pauline Quek","1.02e+16","Dong Po Colonial Cafe at Kandahar Street.. Rather ""hidden"" n inconvenient for me.. Love this place.. The old school kopitiam with old school cakes.. ","850694235082562_851291071689545","positive",2017-07-07 02:22:34,2017-07-07 19:22:34,"2017-7-7",19,5,25,0.5,0,1,1,0
"863","Cheong Evelyn","1.47e+15","My favorite hidden kopitiam is Sungei Road laksa, every time need take MRT and change bus walk 10 minutes. Need one hour traveling time to reach.","850694235082562_851645498320769","positive",2017-07-07 15:58:05,2017-07-08 08:58:05,"2017-7-8",8,6,26,1.5,0,0,2,0
"864","Dean Wong","1.87e+15","Heap Seng Leong. It is the only few left for a kopitiam of its kind. Has old school vibes and the Kopi Gu Yu (Butter Coffee) is awesome.","850694235082562_851283545023631","positive",2017-07-07 02:01:24,2017-07-07 19:01:24,"2017-7-7",19,5,28,3,0,0,1,1
"865","Abby Ah Bee","1.73e+15","Good Good Eating House @ 24 Sixth Avenue.   Their big watery egg yolks coupled with bread & Horlicks make the bad bad me a bit ""good good"".    There re other nice breakfast choices there too! Enjoy! #SharingIsCaring #passengerspick #grabsg","850694235082562_851293721689280","positive",2017-07-07 02:29:42,2017-07-07 19:29:42,"2017-7-7",19,5,40,1.125,0,2,7,0
"866","Sok Fung Chan","1.02e+16","Tong Ah Eating House at Keong Saik  Road. Old school Thick Kopi kosong with one of the best Kaya toast and the soft boiled eggs. Always feel relaxed slurping the kopi.","850694235082562_851293875022598","positive",2017-07-07 02:30:10,2017-07-07 19:30:10,"2017-7-7",19,5,31,2.5,0,0,2,0
"867","Mervyn Jui Meng Tan","1.14e+15","If you ride or drive with Uber, Grab or Ryde, you're warmly  invited to join this new group. The main purpose is to share common problems and experiences from both sides of the car sharing experience. Our admins are newbies so forgive us for the bare look and feel. Member content is varied and hopefully focused to achieve a better ride experience for all parties.  https://www.facebook.com/groups/1013566295436747/","850694235082562_851899691628683","positive",2017-07-08 02:37:16,2017-07-08 19:37:16,"2017-7-8",19,6,66,1,0,1,6,0
"868","Sarah Goh","1.02e+16","the one at toa payoh blk 73! Really great and cheap food! Best fish soup! and the drinks there are good and cheap too! love how they put lots of lemon slices when i order my lemon tea","850694235082562_851293148356004","positive",2017-07-07 02:27:43,2017-07-07 19:27:43,"2017-7-7",19,5,38,3,0,0,4,0
"869","Wee Kiong","6.97e+14","My favourite hidden Kopitiam is hidden somewhere is Singapore but i can't tell you the location because it was supposed to be hidden.. :) :) ","850694235082562_851630028322316","positive",2017-07-07 15:32:01,2017-07-08 08:32:01,"2017-7-8",8,6,26,0,0,0,0,0
"870","ThadToby Rex","1.02e+16","chin mee chin @ east coast rd. Reeelly kopitiam cos they serve just kopi and bread. ","850694235082562_851292915022694","positive",2017-07-07 02:26:50,2017-07-07 19:26:50,"2017-7-7",19,5,17,0,0,0,0,0
"871","Vincent Lee Wee Ping","1.02e+16","Mar Base. Their space kopi is the best. it floats away when you are not fast enough :P haha just joking  It's the one at 28 Senang Crescent S416601","850694235082562_851328411685811","positive",2017-07-07 04:02:28,2017-07-07 21:02:28,"2017-7-7",21,5,29,3,0,0,2,0
"872","Lam Lynn","1.02e+16","My vote goes to kopitiam at compass one, the place is. Dry big and spacious, my favorite food is Laksa","850694235082562_851482671670385","positive",2017-07-07 10:38:02,2017-07-08 03:38:02,"2017-7-8",3,6,20,1.5,0,0,2,0
"873","Rebekah Ong","1.02e+16","I love the Killiney Kopitiam at Killiney Road!!! Super yummy toasts!!","850694235082562_851289081689744","positive",2017-07-07 02:18:12,2017-07-07 19:18:12,"2017-7-7",19,5,11,3,0,0,3,0
"874","Vivienne Isabella Tan","1.02e+16","Blk 163A Gangsa Road!! They have the best Keko Mian!! Me and my kakis always go there for supper after partying! They open 230am  about 2pm ","850694235082562_851292518356067","positive",2017-07-07 02:25:27,2017-07-07 19:25:27,"2017-7-7",19,5,28,3,0,0,1,0
"875","Grab","2.3e+14","Hi Audrey Wong, Please be assured that we will honour all eligible top ups made from 0:00 am today too. If you topped up during this period, you will qualify for the promotion. Hope this clarifies.","851041741714478_851307128354606","positive",2017-07-07 03:06:59,2017-07-07 20:06:59,"2017-7-7",20,5,36,1.8,0,0,5,0
"876","Woody Hoi","1.83e+15","Hi I am a new grab driver, today I picked a passenger from leng kee rd to midview city and the passenger alight without paying, I called grab helpdesk immediately that was abt 930am hope that grab able to contact the passenger immediately. The grab support told me this was handle by another department bcos they not able to see the passenger phone no and the WHOLE of the department was at a meeting not able to attend his called. I called back grab at 12noon the to check the status still unable to give me an answer and said that this issues will take up to 3 days to resolve this issue. I don't think I am the only one having this issues. I very a DISAPPOINTED with the Grab support for such A BIG organisation.","851041741714478_851330528352266","negative",2017-07-07 04:10:31,2017-07-07 21:10:31,"2017-7-7",21,5,137,1.16666666666667,0,2,5,0
"877","Sam Choi","1.02e+16","Hi, I saw this notification at 6am on 7 July asking consumers to top up between NOW and 9 JULY 6pm. I immediately topped up but when I went into Grab app again in that night, I realized that it has changed to 7 July 10am. And I topped up one more time. Today when I checked the app, it said it's fully redeemed. Now I have more than $60 in GRABPAY. Although it's still my own money but I AM VERY UPSET THAT GRAB HAS TO RESORT TO SUCH ANTICS TO LOCK OUR MONEY IN. How can you send such notification before 10am! That is not ethical!!!!!","851041741714478_852423314909654","negative",2017-07-08 23:27:35,2017-07-09 16:27:35,"2017-7-9",16,0,108,1,0,1,3,0
"878","Melvin Teo","1.93e+15","After you top up they will say ""unable to verify payment"" and you will not be able to use your codes.  got #scam before already. I'm sure im not the only one.","851041741714478_851327718352547","negative",2017-07-07 04:00:01,2017-07-07 21:00:01,"2017-7-7",21,5,33,2,0,1,1,0
"879","Jimmi Lee","1.69e+15","Hi I didn't received the massage of this promo is I entitle ?","851041741714478_851295531689099","neutral",2017-07-07 02:34:57,2017-07-07 19:34:57,"2017-7-7",19,5,13,0,0,0,0,0
"880","Vanish Opps","1.9e+15","Hi Grab, i would like to check, i top up $30 into my Credits for today promo, and my balance become $35. But i rode Grab which the fare is $8, and i use $3 promo code, now it deduct $8 from my Credit and become $27.  After the trip, it rebate me $3 and become $30. If like this happen but i top up $30 this morning 10.15am, will it be consider, thank you.","851041741714478_851313738353945","neutral",2017-07-07 03:26:22,2017-07-07 20:26:22,"2017-7-7",20,5,75,1.2,0,0,3,0
"881","Candy Tay","1.02e+16","Hi, I saw the notification on my phone at 9am, so I quickly top up at 9am, can I know still valid? Or must I top up after 10am?","851041741714478_851313491687303","neutral",2017-07-07 03:25:42,2017-07-07 20:25:42,"2017-7-7",20,5,29,2,0,0,2,0
"882","Sachin Kumar Garg","1.02e+16","Hi, i have taken the grab credit and entitle to get 4 rides with 5sgd off but ine trip today i had to cancel because the driver did not turn up for more than1015 min, i tried to call him but he was not responding even. On app it was showing he is near and was showing always 2 min to come. So for this trip also promo redeemed message is coming and but i did not take the ride. I have used other 2 times so now have only one time for today so please remove the trip from the promo used.","851041741714478_853048264847159","neutral",2017-07-10 02:22:39,2017-07-10 19:22:39,"2017-7-10",19,1,103,0.666666666666667,0,1,2,0
"883","Lim SiewHoon","1.02e+16","Hi Grab thanks for this promotion again! Have been topping up for the past few weeks.. i noticed that my balance credits are getting lesser even though i did not use them.. is there any way i can track the deductions by you? Please advise, thank u!","851041741714478_851337305018255","positive",2017-07-07 04:29:37,2017-07-07 21:29:37,"2017-7-7",21,5,47,1.66666666666667,0,0,3,0
"884","Jason Zhuo","1.02e+16","I received the notification but when I wanted to top up it stated that the promotion is over.","851041741714478_851287971689855","neutral",2017-07-07 02:14:59,2017-07-07 19:14:59,"2017-7-7",19,5,18,2,0,0,1,0
"885","Koh Tong Wei","1.02e+16","Hi, I had the $5 credits code for the entire week because i topped up $30. But when i try to take a ride on Saturday morning, it says the code is not valid or fully redeemed when we are entitled to 4 rides per day. Please assist","851041741714478_856744671144185","neutral",2017-07-15 01:22:26,2017-07-15 18:22:26,"2017-7-15",18,6,48,1.33333333333333,0,0,3,0
"886","Sachin Kumar Garg","1.02e+16","Grab ,,, just now i booked the taxi and driver told that my daughter who is around 7 yrs old not allowed.... is there any change in rule???","851041741714478_855141204637865","neutral",2017-07-13 10:28:43,2017-07-14 03:28:43,"2017-7-14",3,5,28,0,0,0,0,0
"887","Ting Baobei Tiffany","1.44e+15","So now is eligible from 0:00 am onwards and not from 10am. So if i top up now am i still eligible?","851041741714478_851325398352779","neutral",2017-07-07 03:55:00,2017-07-07 20:55:00,"2017-7-7",20,5,22,2,0,0,1,0
"888","Madison Jun Xiong","1.02e+16","Hi grab I have just topped up. Still not fully redeemed right? Hehe.","851041741714478_851341685017817","neutral",2017-07-07 04:40:58,2017-07-07 21:40:58,"2017-7-7",21,5,13,2,0,0,1,0
"889","Chen Chen","1.43e+14","Dear Grab, for Grabpay credits, how long is the expiry? Means say if i topup $30 today, and if i don't use the $30, will it one day vanishes into thin air (ie expires) ? 1 year, correct?","851041741714478_851297885022197","neutral",2017-07-07 02:39:39,2017-07-07 19:39:39,"2017-7-7",19,5,38,2,0,0,1,0
"890","Alicia Lee","1.02e+16","Hi Grab, my Grabpay account has been deactivated since January. I have enquired through your customer service four times since, and each time your staff promised me that they would 'expedite' the process of lifting the deactivation. Half a year has passed and my Grabpay account is still deactivated. I now have $50 worth of credits which I cannot use. let me know how you will help with this situation.","851041741714478_851520471666605","neutral",2017-07-07 11:39:53,2017-07-08 04:39:53,"2017-7-8",4,6,70,1.66666666666667,0,0,3,0
"891","Michelle Tan","1.02e+16","Hi! I just did a top up but no notification of getting the $5 off. Please verify","851041741714478_851328908352428","neutral",2017-07-07 04:04:59,2017-07-07 21:04:59,"2017-7-7",21,5,17,1.5,0,1,2,0
"892","Shanthi Asogan","1.59e+15","I have top up $30 but I am unable to use the promo code! What is happening? Grab is cheating customer is it? Pls call me for clarification!","851041741714478_853153748169944","negative",2017-07-10 08:03:37,2017-07-11 01:03:37,"2017-7-11",1,2,28,2,0,0,1,0
"893","Sarah Yoon","1.85e+15","I topped up 200 sgd when Grab had a promotion and when i changed to new phone to log in again all Grab Pay credits disappeared. You call it technical problem but never respond me for over a month. I'd like to warn any users that Grab is not responsive on customer issues compared to their enthusiasm to promote all answers is just wait until when? Please make sure when you pay money for Grab pay  if anytime any issues come, you will pay a lot of resources and time to get it back (my case i am still waiting for their responses for Over a month!!!)","851041741714478_851397325012253","negative",2017-07-07 07:46:57,2017-07-08 00:46:57,"2017-7-8",0,6,108,-0.0909090909090909,0,3,3,0
"894","Stephanie Huang","1.02e+16","Regarding on the credit top up. The way how grab works is not very reasonable; customer been forced to top up if our credit is insufficient for the trip. For example; if our trip worth $5 & our credits only left with $2; system don't allow us to opt to pay balance by cash/credit card. We need to top up again in which I think it's not been fair. Pls kindly look into this matter. Thanks","851041741714478_867061873445798","neutral",2017-08-03 00:56:19,2017-08-03 17:56:19,"2017-8-3",17,4,76,1.3,0,1,8,0
"895","Patricia Britton","1.02e+16","Grab  in spite of my successful topup, I was unable to use the $5 credits. Spoke to your staff this evening n she said that the matter will be looked into asap. She also said to carry on travelling on the normal rates n I'll get back my rebates.  What is the latest on this?","851041741714478_853326788152640","neutral",2017-07-10 15:07:59,2017-07-11 08:07:59,"2017-7-11",8,2,56,2,0,1,2,0
"896","Atsl TY","1.02e+16","Grab  I am very surprise I cannot use $5 ride off for today ride even I am entitled. Question is the statement 'selected users only' only appear in confirmation email but not stated clearly in the promotion. This sound like scam to me, whole thing is not working well at all. I have sent in my issue this morning. Pls kindly look into it.","851041741714478_853078371510815","neutral",2017-07-10 04:00:49,2017-07-10 21:00:49,"2017-7-10",21,1,65,0,0,1,2,0
"897","Hnin Nandar Ei","1.02e+16","I topped up on Friday around 10am. And I am still not getting notification until now.. Don't tell me 50k limit is up by Friday 10am? By the way i accidentally topped up  $30 for 2 times which made up $60.","851041741714478_852664304885555","neutral",2017-07-09 10:43:19,2017-07-10 03:43:19,"2017-7-10",3,1,41,-2,0,1,0,0
"898","Siew Lan Ong","1.02e+16","May I know why is the fare rate for those who have this promo code and those who does not have is not the same. My sis and I at the same time check the rate from the same place to the same place but the rate is different. My sis who did not too up her rate is $8 while mine show $13??? So what is the use when we have the $5 off when the rate eventually is the same as those who did not top up?","851041741714478_852208864931099","neutral",2017-07-08 15:20:04,2017-07-09 08:20:04,"2017-7-9",8,0,89,2,0,0,1,0
"899","JinKit Koh","1.02e+16","I topped up the last time but after the top up, I was always told that the promotion cant be applied to my trips. Not the first time I experienced Grab not honouring its promotional claim. How do I reverse the top up would be my question.","851041741714478_851877324964253","neutral",2017-07-08 01:28:49,2017-07-08 18:28:49,"2017-7-8",18,6,47,2,0,0,3,0
"900","Jessie Yeo","1.02e+16","Hi Grab, as a grabshare rider, will u be able to impose penalty for riders who are late more than 5mins without any response? So as to be fair to other grabshare passengers and drivers also? Can drivers also rate riders so it will be harder for blacklisted riders to get a ride also?","849823028503016_850906975061288","neutral",2017-07-06 09:30:43,2017-07-07 02:30:43,"2017-7-7",2,5,54,-0.333333333333333,0,2,1,0
"901","Satish Menon","1.02e+16","Hi Grab, I have some issue creating a Grab account. I have been told that my Number has been suspended. Is there any means to resolve the issue? Thanks!","849823028503016_850854131733239","neutral",2017-07-06 06:34:04,2017-07-06 23:34:04,"2017-7-6",23,4,29,1,0,1,2,0
"902","Rachna Rachna","1.5e+15","Grab , I did email you guys but no reply ..o can't view anything on my notification ? As I  can see there 23 notification but i can't view","849823028503016_862719293880056","neutral",2017-07-25 11:52:22,2017-07-26 04:52:22,"2017-7-26",4,3,29,0,0,1,0,0
"903","Pauline Tan","1.02e+16","Last Sunday i book a grab taxi....saying to log on to grabpay first time can redeem up to $15. When i book it it didnt deduct any amount.","849823028503016_852240148261304","neutral",2017-07-08 16:15:15,2017-07-09 09:15:15,"2017-7-9",9,0,28,0,0,0,0,0
"904","Mena Mena","1.52e+15","Hi there, it's my humble request,  I would like to drive grab car,  so anyone know about it,","849823028503016_851616941656958","neutral",2017-07-07 15:00:29,2017-07-08 08:00:29,"2017-7-8",8,6,18,0,0,0,0,0
"905","Grey Chen Junyang","1.02e+16","Hi Grab got double billed for top up still nvm. Now the credits offer say have but billed me full sum. Please check","849823028503016_850910258394293","neutral",2017-07-06 09:44:10,2017-07-07 02:44:10,"2017-7-7",2,5,23,1.5,0,0,2,0
"906","Tan Waihong","2.09e+15","I have issues in logging in to my grab account, it says my account has been suspended","849823028503016_851664721652180","neutral",2017-07-07 16:40:22,2017-07-08 09:40:22,"2017-7-8",9,6,17,-1,0,1,0,0
"907","Woody Hoi","1.83e+15","Hi I am a new grab driver, today I picked a passenger from leng kee rd to midview city and the passenger alight without paying, I called grab helpdesk immediately that was abt 930am hope that grab able to contact the passenger immediately. The grab support told me this was handle by another department bcos they not able to see the passenger phone no and the WHOLE of the department was at a meeting not able to attend his called. I called back grab at 12noon the to check the status still unable to give me an answer and said that this issues will take up to 3 days to resolve this issue. I don't think I am the only one having this issues. I very a DISAPPOINTED with the Grab support for such A BIG organisation.","849823028503016_851330625018923","negative",2017-07-07 04:10:56,2017-07-07 21:10:56,"2017-7-7",21,5,137,1.16666666666667,0,2,5,0
"908","Dean Yap","1.67e+15","Hi Grab i have issues logging on to my grab app after  transitioning to a new phone.I have send an email for technical support but have yet receive a reply. Please help me find a solution asap as I am unable to use grab .Thanks","849823028503016_851076418377677","neutral",2017-07-06 16:14:38,2017-07-07 09:14:38,"2017-7-7",9,5,45,1.5,0,0,5,0
"909","Thaddeus Lim","1.02e+16","Hi Grab.. I'm having issue with a recent transaction. Have PM and email you guys to no avail.... This is getting very very disappointing. Please at least response. Thanks.","849823028503016_850361255115860","negative",2017-07-05 12:32:37,2017-07-06 05:32:37,"2017-7-6",5,4,29,0.333333333333333,0,2,2,0
"910","Dawn Lim","1.71e+15","Hi Grab I'm Have PM This Please Thanks Hi Thaddeus PM Had $5 29/6 Called Grab 35 Called 6/7 5 So I 5 $5 Hi Hi Grab I I Grab Is Thanks Hi Hi How Hi Hi Grab 5 So Can i omg Hi Now Please All I","849823028503016_850918338393485","neutral",2017-07-06 10:13:00,2017-07-07 03:13:00,"2017-7-7",3,5,48,1.5,0,0,4,0
"911","Kavitha Jayakrishna","1.02e+16","0","849823028503016_850886808396638","neutral",2017-07-06 08:36:34,2017-07-07 01:36:34,"2017-7-7",1,5,0,0,0,0,0,0
"912","Muhd Shah","1.96e+15","Hey Grab, how does Grab X Tinder works?","849823028503016_852691694882816","neutral",2017-07-09 11:41:31,2017-07-10 04:41:31,"2017-7-10",4,1,8,0,0,0,0,0
"913","Steven Tay","1.02e+16","Hi Grab, I have sent a few PM. Could you reply","849823028503016_851040611714591","neutral",2017-07-06 14:54:12,2017-07-07 07:54:12,"2017-7-7",7,5,11,0,0,0,0,0
"914","Don Hanako","8.54e+14","How come ur button no one responded!","849823028503016_850299595122026","neutral",2017-07-05 09:39:08,2017-07-06 02:39:08,"2017-7-6",2,4,7,0,0,1,0,0
"915","May May Chan","1.02e+16","Do you have Seoul airport Service?","849823028503016_851633914988594","neutral",2017-07-07 15:40:08,2017-07-08 08:40:08,"2017-7-8",8,6,6,0,0,0,0,0
"916","Joshua Sim","1.02e+16","Please check pm","849823028503016_851076761710976","neutral",2017-07-06 16:15:46,2017-07-07 09:15:46,"2017-7-7",9,5,3,1,0,0,1,0
"917","Darren Lau","1.02e+16","Got 2 people inside that will make your cringe. Hahahah.  Daniel Tan Stan Yiliang Lee Corey Ander I only tagged the original celebs.","849823028503016_851202945031691","negative",2017-07-06 21:22:41,2017-07-07 14:22:41,"2017-7-7",14,5,23,3,0,0,1,0
"918","Bryan How","1.45e+15","Felix Felicis 0:34, they share interest in cooking. Now see her add the shrimp in the pan. She obviously lied on her Tinder, bruh.","849823028503016_850974518387867","neutral",2017-07-06 12:28:27,2017-07-07 05:28:27,"2017-7-7",5,5,24,0,0,1,2,0
"919","Nurulhuda Mdnoor","8.35e+14","Sal Bi lets just pretend we met frm grab x tinder for a video! Lolx","849823028503016_851042645047721","neutral",2017-07-06 14:59:50,2017-07-07 07:59:50,"2017-7-7",7,5,15,-1,0,1,0,0
"920","Nur Syakirah","1.02e+16","Zafeera Sadali mane tau kau jumpe jodih kau sini ke? HAHAH","849823028503016_851525674999418","positive",2017-07-07 11:47:15,2017-07-08 04:47:15,"2017-7-8",4,6,11,0,0,0,0,0
"921","Jeremy Hwang","1.02e+16","Complaints seems to prioritise over the campaign movement.","849823028503016_850919691726683","negative",2017-07-06 10:18:27,2017-07-07 03:18:27,"2017-7-7",3,5,8,0,0,0,0,0
"922","Hui Min Sheryl","1.02e+16","Kiong Kokek I see you everywhere!","849823028503016_851051738380145","neutral",2017-07-06 15:19:23,2017-07-07 08:19:23,"2017-7-7",8,5,6,0,0,0,0,0
"923","Cedric Sun","1.02e+16","Partheban Pandiyan, remember when we were talking about this?","849823028503016_852206078264711","neutral",2017-07-08 15:12:41,2017-07-09 08:12:41,"2017-7-9",8,0,9,0,0,0,0,0
